"picnum","picname","name","goodrt","noname","type","lex4","rttar","syll","char","lnfreq"
"obj079","canopener","canopener",0.92,0.08,3,0.02,1433,4,9,0
"obj080","hat","hat",0.96,0,3,0,946,1,3,4.234
"obj081","car","car",1,0,1,0,751,1,3,5.872
"obj082","carousel","carousel",0.96,0.02,4,0.08,1121,3,8,0.693
"obj083","carrot","carrot",1,0,1,0,806,2,6,2.197
"obj084","tape","tape",0.98,0,4,0,875,1,4,3.555
"obj085","castle","castle",1,0,1,0,893,2,6,3.332
"obj086","cat","cat",0.98,0,3,0,766,1,3,4.22
"obj087","celery","celery",0.86,0.04,5,0.23,1362,3,6,1.386
"obj088","chain","chain",0.96,0,1,0,943,1,5,3.892
"obj089","chair","chair",1,0,1,0,732,1,5,4.92
"obj090","cheese","cheese",0.82,0.02,1,0,843,1,6,3.466
"obj091","cherry","cherry",1,0,4,0.1,1077,2,6,2.079
"obj092","chest","chest",1,0,4,0.06,959,1,5,3.892
"obj093","chicken","chicken",0.94,0,4,0.19,1010,2,7,3.738
"obj094","chimney","chimney",0.92,0.04,1,0,1169,2,7,2.398
"obj095","church","church",1,0,3,0.02,988,1,6,5.215
"obj096","cigarette","cigarette",0.98,0.02,4,0.06,1016,3,9,4.277
"obj097","city","city",0.96,0,6,0.08,1158,2,4,5.553
"obj098","clamp","clamp",0.6,0.34,11,0.43,1823,1,5,1.386
"obj099","clock","clock",1,0,2,0.02,772,1,5,3.689
"obj100","clothespin","clothespin",0.76,0.2,5,0.26,1589,2,10,0
"obj101","cloud","cloud",0.94,0.06,5,0.11,1204,1,5,4.043
"obj102","clown","clown",0.98,0,1,0,804,1,5,1.609
"obj103","coat","coat",1,0,4,0.02,1010,1,4,4127
"obj104","dime","dime",1,0,4,0.38,1064,1,4,1.792
"obj105","pillar","pillar",0.86,0.14,5,0.16,1375,2,6,2.833
"obj106","comb","comb",1,0,1,0,717,1,4,1.792
"obj107","cookie","cookie",0.9,0.06,3,0.18,1213,2,6,1.609
"obj108","cork","cork",0.92,0.06,7,0.15,1354,1,4,1.792
"obj109","corkscrew","corkscrew",0.76,0.14,7,0.42,1509,2,9,0.693
"obj110","corn","corn",1,0,1,0,837,1,4,3.219
"obj111","cow","cow",0.96,0,4,0.06,1079,1,3,3.714
"obj112","cowboy","cowboy",0.98,0,5,0.2,1263,2,6,1.946
"obj113","crab","crab",1,0,4,0.08,1040,1,4,2.303
"obj114","crackers","crackers",0.98,0.02,5,0.1,1075,2,8,0
"obj115","crib","crib",0.98,0,3,0.14,1127,1,4,0.693
"obj116","cross","cross",1,0,1,0,793,1,5,3.135
"obj117","crown","crown",0.96,0.02,3,0.06,945,1,5,3.219
"obj118","block","block",0.94,0.04,9,0.43,1335,1,5,4.007
"obj119","cup","cup",1,0,4,0,852,1,3,4.357
"obj120","curtains","curtains",1,0,8,0.12,980,2,8,0
"obj121","deer","deer",0.98,0.02,6,0.08,1182,1,4,2.565
"obj122","dentist","dentist",0.96,0,4,0.13,1075,2,7,2.303
"obj123","desert","desert",0.98,0,2,0.33,1173,2,6,3.738
"obj124","desk","desk",1,0,1,0,975,1,4,4.522
"obj125","diaper","diaper",0.96,0.02,6,0.33,1189,2,6,1.099
"obj126","dinosaur","dinosaur",1,0,2,0.02,1012,3,8,1.792
"obj127","doctor","doctor",0.98,0.02,2,0.16,1076,2,6,5.22
"obj128","dog","dog",1,0,1,0,702,1,3,4.754
"obj129","doll","doll",1,0,5,0.14,1002,1,4,3.258
"obj130","dolphin","dolphin",1,0,2,0.02,894,2,7,1.386
"obj131","donkey","donkey",0.96,0.02,6,0.1,1060,2,6,2.708
"obj132","door","door",1,0,1,0,719,1,4,5.958
"obj133","dragon","dragon",0.96,0.04,1,0,891,2,6,2.303
"obj134","drawer","drawer",1,0,1,0,994,2,6,3.219
"obj135","dress","dress",1,0,1,0,840,1,5,4.477
"obj136","dresser","dresser",1,0,8,0.22,1163,2,7,1.792
"obj137","drill","drill",0.86,0.1,7,0.3,1311,1,5,2.197
"obj138","drum","drum",1,0,2,0,766,1,4,2.833
"obj139","duck","duck",1,0,3,0.04,958,1,4,0
"obj140","dustpan","dustpan",0.84,0.16,8,0.1,1490,2,7,0.693
"obj141","eagle","eagle",1,0,5,0.42,1213,2,5,2.303
"obj142","ear","ear",1,0,1,0,681,1,3,4.489
"obj143","earring","earring",0.68,0.32,7,0.41,1642,2,7,1.386
"obj144","egg","egg",1,0,2,0,874,1,3,4.466
"obj145","elephant","elephant",1,0,2,0.02,837,3,8,3.219
"obj146","envelope","envelope",1,0,2,0.08,794,3,8,3.219
"obj147","eskimo","eskimo",0.88,0.12,6,0.11,1206,3,6,0
"obj148","eye","eye",0.98,0,2,0,700,1,3,6.261
"obj149","fan","fan",0.98,0,2,0.02,865,1,3,2.89
"obj150","faucet","faucet",1,0,6,0.18,1130,2,6,1.099
"obj151","feather","feather",0.98,0,2,0.02,977,2,7,3.091
"obj152","fence","fence",1,0,2,0.02,819,1,5,3.434
"obj153","finger","finger",0.98,0.02,2,0.02,775,2,6,4.82
"obj154","fire","fire",1,0,3,0.04,854,2,4,5.094
"obj155","fireman","fireman",1,0,3,0.02,899,3,7,1.609
"obj156","firetruck","firetruck",0.96,0.02,4,0.06,1066,3,9,0
"obj157","fish","fish",0.98,0,0,0,777,1,4,5.1
"obj158","fishingpole","fishingpole",0.94,0,6,0.15,1213,2,11,0
"obj159","flag","flag",1,0,1,0,847,1,4,3.296
"obj160","flashlight","flashlight",0.98,0.02,2,0,975,2,10,1.792
"obj161","wine","wine",0.86,0.12,10,0.37,1321,1,4,4.382
"obj162","floor","floor",0.96,0.04,6,0.48,1594,1,5,4.344
"obj163","flower","flower",1,0,1,0,754,2,6,4.543
"obj164","flute","flute",0.98,0.02,6,0.14,1402,1,5,1.386
"obj165","fly","fly",1,0,3,0.1,1080,1,3,3.611
"obj166","foot","foot",1,0,2,0,758,1,4,5.79
"obj167","football","football",1,0,1,0,723,2,8,3.526
"obj168","fork","fork",1,0,1,0,723,1,4,2.773
"obj169","fountain","fountain",0.98,0,3,0.02,966,2,8,2.565
"obj170","fox","fox",0.98,0.02,3,0.14,975,1,3,2.773
"obj171","frog","frog",1,0,1,0,751,1,4,2.303
"obj172","funnel","funnel",0.78,0.22,2,0.03,1243,2,6,1.099
"obj173","trash","trash",0.98,0,6,0.08,1123,1,5,1.609
"obj174","gas","gas",0.96,0,7,0.19,1240,1,3,4.357
"obj175","fence","fence",0.96,0.04,3,0.4,988,1,5,3.434
"obj176","genie","genie",0.88,0,2,0.02,1214,2,5,0.693
"obj177","ghost","ghost",1,0,1,0,849,1,5,3.466
"obj178","giraffe","giraffe",0.98,0.02,1,0,783,2,7,1.099
"obj179","girl","girl",1,0,3,0.02,861,1,4,6.084
"obj180","glass","glass",0.98,0,2,0,845,1,5,4.984
"obj181","glasses","glasses",1,0,2,0,758,2,7,3.497
"obj182","globe","globe",1,0,2,0.02,883,1,5,2.485
"obj183","glove","glove",1,0,1,0,848,1,5,2.996
"obj184","goat","goat",0.98,0.02,3,0.04,972,1,4,3.367
"obj185","gorilla","gorilla",1,0,3,0.3,944,3,7,1.386
"obj186","grapes","grapes",1,0,2,0,849,1,6,0
"obj187","grasshopper","grasshopper",0.98,0,6,0.33,1234,3,11,1.386
"obj188","guitar","guitar",1,0,2,0.02,870,2,6,2.079
"obj189","gun","gun",0.98,0,5,0.02,709,1,3,4.605
"obj190","hair","hair",1,0,2,0.02,999,1,4,5.298
"obj191","brush","brush",1,0,3,0.04,896,1,5,2.89
"obj192","hamburger","hamburger",1,0,4,0.08,828,3,9,1.792
"obj193","hammer","hammer",0.96,0,1,0,724,2,6,2.485
"obj194","hammock","hammock",0.9,0.08,2,0.09,1378,2,7,0.693
"obj195","hand","hand",0.94,0,2,0.02,723,1,4,6.586
"obj196","handcuffs","handcuffs",0.98,0,4,0.06,1113,2,9,1.099
"obj197","hanger","hanger",0.98,0,2,0,777,2,6,1.099
"obj198","harp","harp",0.92,0.06,3,0.04,914,1,4,1.386
"obj199","hat","hat",0.94,0,2,0.02,684,1,3,4.234
"obj200","hay","hay",0.98,0.02,4,0.02,1198,1,3,2.773
"obj201","heart","heart",1,0,1,0,720,1,5,5.106
"obj202","heel","heel",0.98,0,3,0.04,1014,1,4,3.401
"obj203","helicopter","helicopter",1,0,1,0,793,4,10,2.833
"obj204","helmet","helmet",1,0,2,0,921,2,6,2.639
"obj205","highchair","highchair",0.94,0.04,4,0.02,1205,2,9,0
"obj206","hinge","hinge",0.82,0.12,5,0.1,1349,1,5,1.609
"obj207","hippo","hippo",0.94,0.04,5,0.15,1133,2,5,0.693
"obj208","hoe","hoe",0.94,0.06,5,0.23,1346,1,3,1.386
"obj209","hoof","hoof",0.96,0,4,0.04,1088,1,4,2.197
"obj210","hook","hook",1,0,1,0,919,1,4,3.638
