"picnum","picname","name","goodrt","noname","type","lex4","rttar","syll","char","lnfreq"
"obj303","paw","paw",0.92,0.02,6,0.33,1341,1,3,1.946
"obj304","peach","peach",0.88,0.02,7,0.25,1247,1,5,1.946
"obj305","peacock","peacock",0.9,0.08,5,0.11,1010,2,7,1.609
"obj306","peanut","peanut",0.9,0,1,0,780,2,6,1.792
"obj307","pear","pear",1,0,1,0,949,1,4,1.946
"obj308","peas","peas",0.94,0.04,5,0.04,1201,1,4,0
"obj309","pelican","pelican",0.86,0.1,4,0.21,1102,3,7,1.099
"obj310","pen","pen",1,0,1,0,753,1,3,3.296
"obj311","pencil","pencil",1,0,1,0,702,2,6,2.996
"obj312","pencilsharpener","pencilsharpener",0.62,0.34,4,0.06,1617,5,15,0
"obj313","penguin","penguin",0.96,0,1,0,897,2,7,1.792
"obj314","piano","piano",0.98,0,1,0,798,3,5,3.332
"obj315","picture","picture",0.96,0,4,0.02,1009,2,7,5.165
"obj316","pig","pig",1,0,1,0,855,1,3,3.784
"obj317","bird","bird",0.98,0,9,0.63,1399,1,4,4.644
"obj318","piggybank","piggybank",0.98,0,4,0,965,3,9,0
"obj319","pillow","pillow",1,0,1,0,867,2,6,2.996
"obj320","pineapple","pineapple",0.98,0,2,0.02,871,3,9,1.386
"obj321","pinecone","pinecone",0.8,0.16,9,0.28,1536,2,8,0
"obj322","pipe","pipe",0.94,0.04,2,0.02,866,1,4,3.466
"obj323","pirate","pirate",0.98,0,5,0.1,1118,2,6,1.792
"obj324","pitcher","pitcher",0.9,0.08,6,0.42,1248,2,7,0.693
"obj325","pitchfork","pitchfork",0.96,0.04,6,0.33,1397,2,9,0
"obj326","pizza","pizza",1,0,1,0,973,2,5,1.099
"obj327","plate","plate",1,0,4,0.04,1013,1,5,4.025
"obj328","pliers","pliers",0.94,0.06,4,0.4,1521,2,6,0.693
"obj329","plug","plug",0.96,0.02,3,0,1241,1,4,2.303
"obj330","policeman","policeman",1,0,11,0.16,1132,3,9,3.664
"obj331","pool","pool",0.98,0,3,0,871,1,4,3.738
"obj332","popcorn","popcorn",0.98,0.02,1,0,745,2,7,0.693
"obj333","popsicle","popsicle",0.86,0.14,5,0.23,1380,3,8,0
"obj334","porcupine","porcupine",0.94,0.06,2,0.02,1291,3,9,0.693
"obj335","pot","pot",0.8,0.16,8,0.28,1361,1,3,3.611
"obj336","potato","potato",0.9,0.1,3,0.07,1214,3,6,3.611
"obj337","present","present",0.96,0.02,5,0.19,893,2,7,2.89
"obj338","priest","priest",0.98,0,5,0.04,1165,1,6,3.912
"obj339","pumpkin","pumpkin",0.98,0.02,1,0,909,2,7,1.099
"obj340","purse","purse",1,0,2,0,772,1,5,2.398
"obj341","pyramid","pyramid",0.96,0.04,2,0.02,987,3,7,2.079
"obj342","queen","queen",0.98,0,1,0,931,1,5,3.989
"obj343","rabbit","rabbit",0.98,0,2,0,746,2,6,2.996
