"picnum","picname","cname","cgoodrt","cnoname","ctype","clex4","crttar","csyll","clnfreq"
"obj259","match","huo3-chai2",0.92,0,2,0,1152,2,3.091
"obj260","medal","hui1-zhang1",0.8,0.1,5,0.25,1494,2,3.178
"obj261","microphone","mai4-ke4-feng1",0.74,0.2,5,0.11,1432,3,4.06
"obj262","microscope","xian3-ui2-jing4",0.8,0,2,0.03,1203,3,3.689
"obj263","mirror","jing4-zi5",0.98,0,1,0,850,2,4.754
"obj264","mixer","yun4-dou3",0.52,0.42,6,0.27,1719,2,1.099
"obj265","priest","mu4-shi1",0.78,0.12,18,0.72,1876,2,3.178
"obj266","monkey","hou2-zi5",0.96,0,2,0,898,2,4.263
"obj267","moon","yue4-liang4",0.96,0,3,0.02,758,2,5.308
"obj268","moose","lu4",0.82,0.04,6,0.41,1530,1,0.693
"obj269","mop","tuo1-ba3",0.92,0.02,2,0.02,1063,2,1.099
"obj270","mosquito","un2-zi5",0.84,0.06,7,0.24,1423,2,4.511
"obj271","motorcycle","mo2-tuo1-che1",0.98,0,4,0.02,852,3,4.111
"obj272","mountain","shan1",0.94,0,7,0.13,1185,1,4.007
"obj273","mouse","lao3-shu3",1,0,5,0.04,917,2,4.86
"obj274","mousetrap","bu3-shu3-qi4",0.66,0.24,11,0.21,1740,3,0.693
"obj275","mushroom","xiang1-gu1",0.98,0,4,0.12,971,2,1.946
"obj276","music","in1-fu2",0.98,0,5,0.49,1060,2,2.197
"obj277","nail","ding1-zi5",0.9,0,6,0.04,1077,2,2.079
"obj278","neck","bo2-zi5",0.84,0.02,11,0.48,1374,2,4.317
"obj279","necklace","xiang4-lian4",0.96,0,3,0.04,987,2,3.045
"obj280","needle","zhen1",0.78,0.14,6,0.18,1298,1,4.977
"obj281","nest","dan4",0.92,0,11,0.52,1240,1,1.609
"obj282","net","uang3-zi5",0.98,0,4,0.2,942,2,2.303
"obj283","nose","bi2-zi5",0.98,0,1,0,811,2,2.773
"obj284","nurse","hu4-shi4",0.92,0,2,0.02,1133,2,4.248
"obj285","nut","luo2-si1",0.76,0.16,11,0.53,1606,2,0
"obj286","octopus","zhang1-yu2",0.94,0,1,0,1007,2,1.792
"obj287","onion","iang2-cung1",0.9,0.04,7,0.22,1538,2,2.565
"obj288","orange","jyu2-zi5",0.9,0.04,5,0.4,1610,2,3.045
"obj289","ostrich","tuo2-niao3",0.88,0.04,6,0.16,1507,2,2.565
"obj290","owl","mao1-tou2-ing1",0.92,0,2,0.07,1106,3,2.996
"obj291","package","bao1-guo3",0.94,0.02,5,0.06,1246,2,3.892
"obj292","bucket","shui3-tung3",0.96,0,2,0,934,2,2.833
"obj293","paintbrush","mao2-bi3",0.9,0.02,8,0.67,1368,2,6.297
"obj294","paint","tiao2-se4-pan2",0.9,0,11,0.09,1308,3,1.099
"obj295","palmtree","ie2-zi3-shu4",0.88,0,5,0.18,1204,3,2.303
