Duration,Age,Gender,Gender_comfortable_1,Gender_masc_1,Gender_fem_1,Gender_stability_1,Sexual_strength_1,Sexual_fewq_1,Sexual_gender_1,Romantic_strength_1,Romantic_freq_1,Romantic_gender_1
243,19,Female,9,6,6,NA,7,4,9,9,9,7
79,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
125,21,Female,9,3,7,9,9,7,7,9,7,7
108,19,Female,6,5,3,5,9,9,3,9,9,1
101,21,Other,7,7,7,3,9,7,7,9,7,8
166,19,Female,9,2,7,9,3,2,9,5,2,9
174,321,Female,8,4,6,7,7,7,7,6,3,7
99,21,Female,9,5,4,6,8,4,3,9,7,3
184,19,Female,9,5,5,9,9,7,8,9,3,8
98,20,Female,9,4,8,9,9,6,3,9,5,7
2682,18,Female,9,3,7,8,6,8,8,7,8,8
120,19,Female,9,2,8,8,8,7,8,8,6,7
868,21,Female,9,4,7,6,8,8,2,7,8,1
201,20,Female,9,3,9,9,9,9,5,6,2,2
903,19,Female,9,2,7,8,7,7,5,4,5,4
92,18,Female,9,3,6,7,6,7,6,8,7,4
134,20,Female,9,3,7,8,3,3,5,8,8,5
181,18,Female,9,5,7,9,9,7,5,9,6,5
140,18,Female,9,4,6,8,7,6,6,7,6,7
177,19,Female,9,2,7,9,9,7,9,8,6,9
132,18,Female,9,2,7,6,7,7,9,9,8,9
160,19,Female,9,4,6,9,6,4,8,8,7,8
138,19,Female,9,5,5,7,8,8,1,7,4,1
454,19,Female,9,4,6,8,9,8,9,9,7,9
185,20,Female,9,2,7,9,9,8,9,9,9,9
167,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
272,20,Female,9,5,6,9,8,6,7,9,7,9
177,19,Male,9,8,2,9,7,7,1,7,7,1
180,18,Female,9,7,3,9,5,5,6,7,6,9
92,19,Female,9,2,8,9,9,7,9,8,7,9
143,18,Female,9,3,7,9,8,5,9,8,6,9
108,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
433,20,Female,9,4,5,9,9,6,9,8,6,9
9546,21,Male,6,7,4,7,9,8,5,9,7,4
364,22,Female,9,6,5,8,9,9,2,9,9,1
