"ID","gender","age","N","E","O","A","C","anx","PD","DL","SUP"
"ID1073",1,3,1.88,4.57,4,5,4.33,4.35,2.2,3,2.75
"ID1074",1,3,1.63,2.86,2.9,3.88,4.78,2.71,2.8,2.5,1.63
"ID1075",1,3,2.63,4.14,3,4,3.78,2.81,2.2,2.63,2
"ID1076",0,3,4.88,2.14,2.6,3.25,4.89,5.11,3.2,3.13,1.63
"ID1077",1,3,2.88,2.71,3.6,4.25,4.11,2.72,2.8,2.88,3
"ID1078",0,3,2.88,3.71,4.5,5,3.78,4.58,2.8,3.63,2.75
"ID1079",1,3,3.38,2.57,3.2,4,4.67,4.66,2.8,3.38,2.38
"ID1080",0,3,3.5,3.14,4.3,3.63,3.89,4.29,3.2,3.25,3.13
"ID1081",1,3,2.75,3,3.5,3.38,4.33,2.67,3,3,2.88
"ID1082",1,3,2.88,3.86,3.7,3.5,3.89,4.46,2.4,3.25,2.75
"ID1083",0,3,3,3,4.4,3.5,3.22,4.08,3.4,2.5,3.13
"ID1084",0,3,2.88,3.14,3.6,4,3.67,4.38,3.6,3,3
"ID1085",1,3,1.38,4.86,2.7,4.75,4.56,3.51,4,3.63,1.5
"ID1086",1,3,1.63,4.71,3.9,4.25,3.78,4.71,2.8,3,3.5
"ID1087",1,3,1.5,4.43,4.3,4.13,4.33,4.53,4,4,2
"ID1088",1,3,2.88,1.57,4.4,4.5,4,4.84,3.2,3.63,3.13
"ID1089",1,3,4.75,3.57,3,4.25,3.56,5.03,3.6,2.63,3
"ID1090",1,3,1.5,5,3.7,4.88,4.56,2.96,3.2,3.13,3.25
"ID1091",1,3,3.63,4.57,3.4,3.63,3.33,4.52,3.4,3.88,1.25
"ID1092",1,3,3.38,3.29,3,4.25,3.33,4.32,3.2,2.63,2.25
"ID1093",1,3,2.75,4.29,3.5,4,4.67,4.38,4,3.25,2.25
"ID1094",1,3,2.75,2.57,2.7,4.25,4.56,3.85,2.4,2.25,3
"ID1095",0,3,2.13,3.14,2.5,4.13,3.11,3.69,3.6,3.13,1.63
"ID1096",0,3,1.63,4.29,3.3,4.25,4.56,3.14,2.8,2.88,2.88
"ID1097",0,3,2.25,1.71,2.8,4.63,3.56,2.84,3,2.88,3
"ID1098",1,3,2.5,4.14,3.6,3.88,3.11,2.54,2.2,2.88,3
"ID1099",0,3,2.38,3.29,3.4,3.25,4.44,2.71,2.6,2.88,2.88
"ID1100",0,3,2.38,3.57,3.6,4.25,4.78,2.79,2.2,3.75,1.5
"ID1101",0,3,2.63,2.43,2.1,5,4.89,4.39,2.4,2.75,3.75
"ID1102",0,3,2.63,2.71,4.1,4.63,3.89,5.54,3,2.5,1.75
"ID1103",0,3,2,2.71,2.8,2.88,4.44,2.64,2.2,3.38,2.75
"ID1104",0,3,2.88,2.14,4,4,4,2.91,2.4,2.75,3.5
"ID1105",1,3,2.75,2,4.8,4.63,4.67,3.88,2.4,1.63,1.75
"ID1106",1,3,2.63,3.71,2.4,4.63,4.33,4.02,3.4,1.13,3.5
"ID1107",0,3,2.13,4.14,3.8,3.88,3.56,4,2.4,3,3.13
"ID1108",1,3,3.75,3.14,3.8,3.88,4.67,3.5,3.6,3.38,1.38
"ID1109",0,3,1.5,4.86,4.1,4.5,3.56,3.39,1.8,3.75,2
"ID1110",1,3,2.25,4.29,4.6,4.38,3.56,4.67,3.6,3.75,3.25
"ID1111",1,3,2.75,2.57,3,3.38,4.11,3.37,2.4,3.13,2.25
"ID1112",1,3,4.25,2.43,4.3,4.38,2.56,3.95,3.2,3.38,2.25
"ID1113",1,3,3.25,4.86,5,3.5,4.22,4.17,2.2,3.5,2.75
"ID1114",0,3,3,2,4.1,3.25,3.22,1.59,2,2.75,2.5
"ID1115",0,3,1.5,4.71,4.8,3.88,3.67,3.51,3.6,3.88,2
"ID1116",1,3,1.88,5,5,4.38,4.89,4.25,3,3.88,2
"ID1117",0,3,2.63,4.71,3.9,3.88,3.11,3.79,3.6,2.63,3
"ID1118",0,3,3.25,2.57,4.3,3.25,3.11,4.54,2.8,3.38,3.5
"ID1119",1,3,3.88,4.71,3.4,4,3.78,3.82,2.4,3.13,2.75
"ID1120",1,3,3.88,3.43,3.5,4.38,4,4.64,2.8,1.5,1.5
"ID1121",1,3,1.63,2.71,3.7,4,4.56,3.15,3.2,3.63,3.75
"ID1122",1,3,2.63,3.29,2.6,3.88,3.78,4.6,3.2,3.13,3.13
"ID1123",1,3,2.63,3.86,4,4.13,3.33,4.28,2.6,3,2.88
"ID1124",1,3,2.38,4.29,3.4,4.25,4.89,3.97,2.8,3.75,1.25
"ID1125",0,3,3.13,3.29,3.7,3.5,2.67,4.18,3,2.88,2.38
"ID1126",1,3,2.5,2.43,3.5,3.75,3.56,4.73,2.4,3.13,3.25
"ID1127",0,3,2.25,4,5,3.88,3,4.12,3.4,3.75,2
"ID1128",1,3,3.88,4.57,4,3.13,2.89,5.35,2.4,2.75,2.13
"ID1129",1,3,2.5,4.43,3.6,4.25,3.78,3.53,3.8,3.88,3.88
"ID1130",1,3,1.75,3.14,4.9,5,4.78,2.97,2.6,4,4
"ID1131",0,3,3.13,2.86,3.3,3.88,3.44,3.7,2.2,3.63,1.38
"ID1132",1,3,1.75,4,4.6,4.5,4.11,3.45,3.2,3.63,2.88
"ID1133",1,3,2,2.57,4,3,4.11,3.13,2.2,3.5,1.38
"ID1134",1,3,1.63,4.29,4.1,4.63,3.44,2.31,2.6,3.75,2
"ID1135",1,3,1.63,5,4.8,3.38,5,3.31,3,3.13,3
"ID1136",0,3,2.88,3.86,4.6,4,3.33,3.98,1.8,3.63,3.38
"ID1137",1,3,1.38,4,3.3,4.25,3.67,3.75,2.6,3.5,3.5
"ID1138",0,3,3.13,3.57,4.5,3.75,3.56,4.27,3,3.5,3.25
"ID1139",1,3,4.13,3.29,3.9,3.5,2.67,4.71,3,2.88,2.88
"ID1140",1,3,2.75,3,4.8,3.5,3.56,4.35,2.2,3.88,2.75
"ID1141",1,3,2.25,4.14,4.3,3.88,2.11,3.07,2,4,4
"ID1142",1,3,3.5,2,4.5,4.13,4.44,4.55,2.8,3,2.75
"ID1143",0,2,3.88,3.14,3.4,2.75,3.78,5.33,3.4,3.88,2.38
"ID1144",1,2,3.63,2.71,3.6,3.13,3.44,3.66,2.6,2.88,2.88
"ID1145",0,2,1.38,4.29,4.9,4.38,4.22,4.31,3.2,3.88,1.63
"ID1146",0,2,1.63,3.71,3.8,4.5,4.78,3.48,2.4,3.38,2.75
"ID1147",1,2,3.63,3.43,2.8,2.88,3.22,5.31,2.8,2.63,2.5
"ID1148",0,2,2.88,3.57,3.7,3.38,3.11,4.43,2.8,3.13,3.38
"ID1149",1,2,3.5,4.57,3.5,4.13,2.33,4.83,3.4,1,3.38
"ID1150",0,2,2.88,3.43,3,3.5,2.67,3.99,2.4,2.63,2.63
"ID1151",0,2,3,3,3.1,3.75,3.89,3.91,2.4,2.75,3
"ID1152",0,2,2.75,2.14,3.7,4,4.33,4.96,4,3.25,3
"ID1153",1,2,4.13,4.29,5,4.63,2.67,5.62,3.6,3.63,1
"ID1154",1,2,2.75,4.71,3.4,3.75,4.89,4.32,3.6,3.63,1.5
"ID1155",1,2,2.63,4.86,4.9,4.75,4.22,3.52,3.4,3.25,3
"ID1156",0,2,1.75,4.14,3.4,3.75,4.44,5.03,3,2.5,2.5
"ID1157",0,2,2.5,3.86,3.5,3.25,3.22,4.22,2.6,2.63,2.13
"ID1158",1,2,2,4.29,4.4,4.25,4,4.25,2.6,3,3.5
"ID1159",0,2,3,3,2.9,3.25,2.67,3.06,2.2,2,2.5
"ID1160",1,2,2.63,4.86,3.6,4.25,4.89,4.28,3.4,2.75,2.25
"ID1161",1,2,2.13,3.29,3.8,3.5,4,5.13,3.6,2.5,2.13
"ID1162",1,2,4,2.14,3.1,4.13,3.67,5.12,3.4,2.25,3.63
"ID1163",0,2,2.5,3.43,3.2,3.88,3.67,3.61,2.8,2.38,2.88
"ID1164",0,2,2.38,3.14,3.1,4,4.22,3.52,2.4,2.88,1.38
"ID1165",1,2,3.38,3.86,3,3.25,3.78,6.42,3.6,2.5,2.13
"ID1166",0,2,3.25,2.86,3.9,3.38,4.22,3.61,3.6,3,2.38
"ID1167",0,2,2.13,4.43,3.7,4.13,4.78,3.9,3,3.75,3.5
"ID1168",0,2,2.38,3,4.3,4.13,4.56,5.65,3.6,3.63,3.38
"ID1169",1,2,3,3.29,3.1,3.25,3.67,5.25,2.6,2.88,3.25
"ID1170",1,2,2.88,3.71,4.2,3.88,4.44,2.29,3.2,3.63,3
"ID1171",1,2,4.75,1.57,4.3,2.63,4.11,5.66,2.8,1.75,1
"ID1172",0,2,2,3.43,2.8,4.13,4.33,3.23,2.8,2.25,2
"ID1173",0,2,3.38,4.14,4.4,3.88,4.11,5.09,3,3,2.75
"ID1174",0,2,3,2.43,3.4,3.25,3.56,4.72,3.8,3.63,3.13
"ID1175",1,2,1.88,3.43,2.6,4.25,4.56,2.77,3.2,2.88,3.13
"ID1176",0,2,1.5,4.14,4.7,4.63,4.44,4.58,3.2,3.38,3
"ID1177",0,2,1.75,4.57,4.6,3.63,4.89,3.88,3.8,2.75,2.13
"ID1178",1,2,3.25,2.14,3.5,3.63,3.78,4.94,2.6,3.38,3.75
"ID1179",1,2,4.38,1.57,3.1,3.25,3.33,4.27,2.8,2.88,3.38
"ID1180",0,2,2.88,2.71,3.4,3.5,3.67,4.13,3,3,2.63
"ID1181",0,2,3.88,2,4.9,4.75,3.89,5.3,4,2.88,3
"ID1182",1,2,2.5,2.57,3.7,3.38,3.44,3.53,2.4,2.88,2.38
"ID1183",0,2,3.63,3,3.8,3.38,2.89,4.76,2.2,3,3
"ID1184",0,2,2,4.43,2.9,3.75,4,3.1,2.2,2.25,3
"ID1185",1,2,4.25,3,3.4,3.38,2.56,5.24,3.2,2.38,3.38
"ID1186",0,2,3,3.14,3.3,2.38,4.33,2.81,3.4,2.75,2
"ID1187",1,2,4,3,4.1,4.38,5,3.03,3,3.5,3.5
"ID1188",1,2,2.75,4,3.8,3.63,3.67,3.9,3,3,2.13
"ID1189",0,2,1.5,3.86,4,4.25,4.11,3.24,3.2,3.25,3.75
"ID1190",1,2,2.75,3.86,2.4,3.5,4.11,2.42,3,2.88,2.63
"ID1191",0,2,1.63,4.86,3.8,2.25,3.56,3.43,2.8,3.5,2.38
"ID1192",1,2,3,3.14,4.6,3.75,3.11,5.78,3.6,2.88,2.88
"ID1193",1,2,3.13,3.29,3.9,4.25,4.33,3.98,3,3.63,3.5
"ID1194",1,2,3.75,2.57,3.7,3.5,3.33,4.36,3,2.63,3.13
"ID1195",1,2,3.13,4.43,4.7,4,3.33,4.36,2,3.63,2
"ID1196",0,2,3,2.29,3,3.38,4.22,4.21,3.4,3.25,3
"ID1197",1,2,3.13,3,3.9,3.38,4.33,3.01,1.8,2.38,2.88
"ID1198",0,2,2.63,2,3.4,3.63,4.22,4.07,2.8,3.25,2.25
"ID1199",0,2,2.13,4,3.8,4.25,4.33,4.13,2.4,2.88,2.88
"ID1200",0,2,2.38,4.29,4.2,3.75,3.22,3.34,2.8,3.38,3.38
"ID1201",1,2,2.88,3.43,3.8,4.38,3.56,4.57,3,3.63,2.75
"ID1202",1,2,3.88,1.71,3.2,4,3.89,3.74,2.2,2.75,3.13
"ID1203",1,2,2.75,2.57,3.3,5,4.44,3.67,3,2.75,1.88
"ID1204",0,2,2,4.57,3.4,4.13,4.56,3.63,2.6,3,1.88
