"picnum","ename","gname","sname","iname","bname","hname","cname","egoodrt","ggoodrt","sgoodrt","igoodrt","bgoodrt","hgoodrt","cgoodrt","enoname","gnoname","snoname","inoname","bnoname","hnoname","cnoname","ebadrt","gbadrt","sbadrt","ibadrt","bbadrt","hbadrt","cbadrt","etype","gtype","stype","itype","btype","htype","ctype","elex1","glex1","slex1","ilex1","blex1","hlex1","clex1","elex2","glex2","slex2","ilex2","blex2","hlex2","clex2","elex3","glex3","slex3","ilex3","blex3","hlex3","clex3","elex4","glex4","slex4","ilex4","blex4","hlex4","clex4","erttot","grttot","srttot","irttot","brttot","hrttot","crttot","erttar","grttar","srttar","irttar","brttar","hrttar","crttar","ert2","grt2","srt2","irt2","brt2","hrt2","crt2","ert3","grt3","srt3","irt3","brt3","hrt3","crt3","ert4","grt4","srt4","irt4","brt4","hrt4","crt4","esyll","gsyll","ssyll","isyll","bsyll","hsyll","csyll","echar","gchar","schar","ichar","bchar","hchar","lnefreq","lngfreq","lnsfreq","lnifreq","lnbfreq","lnhfreq","lncfreq"
"obj154","fire","feuer","fuego","fuoco","og^n","tüüz","huo3",1,1,0.98,1,0.98,0.94,0.9,0,0,0,0,0,0,0,0,0,0.02,0,0.02,0.06,0.1,3,3.3,7,1,1,5,12,0.96,0.9,0.47,1,1,0.89,0.67,0,0.1,0,0,0,0,0.2,0,0,0.39,0,0,0.02,0,0.04,0,0.14,0,0,0.09,0.13,854,918,1208,953,1037,961,1353,854,920,1155,953,1037,889,1335,NA,902,NA,NA,NA,NA,1489,NA,NA,1254,NA,NA,2551,NA,865,NA,1261,NA,NA,1326,1239,2,2,2,2,2,1,1,4,5,5,5,4,3,5.094,4.007,5.303,3.091,5.1,4.263,5.509
"obj155","fireman","feuerwehrmann","bombero","pompiere","pozharnikar","tüüzoltó","xiao1-fang2-yuan2",1,1,1,0.94,0.98,0.94,0.9,0,0,0,0.02,0.02,0.02,0,0,0,0,0.04,0,0.04,0.1,3,3.3,2,3,3,2,10,0.94,0.97,0.98,0.94,0.92,0.98,0.29,0.04,0,0,0,0,0,0.56,0,0,0,0.04,0,0,0,0.02,0.03,0.02,0.02,0.08,0.02,0.16,898,1297,947,1046,1287,1175,1224,899,1302,949,993,1277,1167,1170,842,NA,NA,NA,NA,NA,1270,NA,NA,NA,1867,NA,NA,NA,956,1147,846,1713,1405,1526,1160,3,4,3,3,4,3,3,7,13,7,8,11,7,1.609,0,1.792,0,3.65,0,1.609
"obj156","firetruck","feuerwehr","bomberos","pompieri","pozharna","tüüzoltóautó","xiao1-fang2-che1",0.96,0.9,0.8,0.62,0.88,1,0.88,0.02,0.03,0.14,0.34,0.08,0,0,0.02,0.07,0.06,0.04,0.04,0,0.12,4,13.3,11,16,11,8,4,0.65,0.52,0.3,0.32,0.43,0.62,0.66,0.29,0.3,0,0.23,0.36,0.24,0.3,0,0,0.28,0.07,0,0,0,0.06,0.19,0.43,0.39,0.2,0.14,0.05,1152,1689,1705,1969,1759,1553,1565,1066,1599,1493,1764,1447,1462,1637,1283,1621,NA,2201,1961,1507,1409,NA,NA,1861,1640,NA,NA,NA,1434,2048,1754,2061,2058,2034,1545,3,3,3,3,3,6,3,9,9,8,8,8,11,0,2.833,2.398,0,3.65,0,2.079
"obj157","fish","fisch","pez","pesce","riba","hal","yu2",0.98,0.97,0.94,0.98,0.96,0.96,0.94,0,0,0,0,0,0,0,0.02,0.03,0.06,0.02,0.04,0.04,0.06,1,3.3,2,3,2,3,3,1,0.97,0.75,0.96,0.94,0.94,0.94,0,0,0,0.02,0.06,0.04,0.02,0,0,0.26,0,0,0,0,0,0.03,0,0.02,0,0.02,0.04,777,812,980,833,857,841,844,777,789,1042,815,860,844,827,NA,NA,NA,1314,818,723,934,NA,NA,798,NA,NA,NA,NA,NA,1476,NA,1211,NA,962,1180,1,1,1,2,2,1,1,4,5,3,5,4,3,5.1,3.555,4.094,2.773,4.9,2.996,6.047
"obj158","fishingpole","angel","caña de pescar","canna da pesca","v^ditsa","horgászbot","diao4-gan1",0.94,0.97,0.8,0.78,0.92,0.92,0.94,0,0.03,0.18,0.1,0.04,0.04,0,0.06,0,0.02,0.12,0.04,0.04,0.06,6,1.7,7,6,2,4,6,0.53,1,0.53,0.41,0.98,0.76,0.49,0.32,0,0.35,0.28,0,0,0.36,0,0,0,0,0,0.2,0,0.15,0,0.13,0.31,0.02,0.04,0.15,1231,1087,1653,1621,1269,1227,1166,1213,1087,1562,1527,1251,1257,1162,1294,NA,1837,1675,NA,NA,1178,NA,NA,NA,NA,NA,1175,NA,1158,NA,1520,1695,2053,937,1149,2,2,5,5,3,3,2,11,5,12,14,7,10,0,1.792,0,0,4.15,0,0
"obj159","flag","fahne","bandera","bandiera","zname","zászló","qi2-zi5",1,0.93,1,0.98,0.8,1,0.96,0,0,0,0.02,0,0,0,0,0.07,0,0,0.2,0,0.04,1,3.3,2,3,5,1,3,1,0.93,0.96,0.96,0.75,1,0.71,0,0,0.04,0.04,0.03,0,0.04,0,0.07,0,0,0.23,0,0,0,0,0,0,0,0,0.25,847,1045,851,813,1116,812,993,847,1065,835,807,1085,812,1027,NA,NA,1238,962,1083,NA,1012,NA,784,NA,NA,1222,NA,NA,NA,NA,NA,NA,NA,NA,891,1,2,3,3,2,2,2,4,5,7,8,5,6,3.296,3.367,4.174,2.079,3.5,3.258,2.833
"obj160","flashlight","taschenlampe","lámpara","torcia","fener","zseblámpa","shou3-dian4-tung3",0.98,0.97,0.98,0.86,0.98,0.94,0.92,0.02,0,0.02,0.08,0,0.02,0.02,0,0.03,0,0.06,0.02,0.04,0.06,2,3.3,8,7,5,5,3,0.98,0.97,0.67,0.37,0.69,0.4,0.96,0.02,0,0.08,0.02,0.25,0.55,0,0,0,0.12,0.21,0,0,0,0,0.03,0.12,0.4,0.06,0.04,0.04,981,1206,1180,1449,1228,1182,1155,975,1191,1124,1316,1234,1216,1115,1276,NA,1240,815,1127,1156,NA,NA,NA,1349,1500,NA,NA,NA,NA,1623,1282,1585,1561,1186,2022,2,4,3,2,2,3,3,10,12,7,6,5,9,1.792,1.099,4.007,0,2.95,2.639,2.773
"obj161","wine","flasche","botella","fiasco","damadzhana","demizson","jiu3-ping2",0.86,1,0.94,0.9,0.78,0.94,0.62,0.12,0,0.06,0.02,0.16,0,0.3,0.02,0,0,0.08,0.06,0.06,0.08,10,10,10,8,8,13,8,0.58,0.5,0.66,0.53,0.59,0.28,0.48,0.05,0.37,0.04,0.11,0,0,0.03,0,0,0,0,0,0.15,0,0.37,0.13,0.3,0.36,0.41,0.57,0.48,1448,1367,1567,1264,1718,1582,1812,1321,1170,1458,1220,1705,1583,1920,1337,1562,1097,1086,NA,NA,1865,NA,NA,NA,NA,NA,1714,NA,1659,1569,1874,1384,1737,1547,1700,1,2,3,2,4,3,2,4,7,7,6,10,8,4.382,3.611,4.754,0,2.7,0,2.639
"obj162","floor","fliesen","piso","pavimento","pod","sarok","di4-ban3",0.96,0.87,0.94,0.96,0.84,0.88,0.88,0.04,0.1,0.06,0.02,0.12,0.06,0.04,0,0.03,0,0.02,0.04,0.06,0.08,6,13.3,7,8,11,13,9,0.52,0.27,0.68,0.75,0.29,0.34,0.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.48,0.73,0.32,0.25,0.71,0.66,0.45,1463,1914,1561,1364,1782,1714,1659,1594,1889,1455,1280,1720,1449,1595,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1321,1923,1786,1614,1807,1851,1736,1,2,2,4,1,2,2,5,6,4,9,3,5,4.344,1.792,5.124,1.609,4.95,5.1,4.963
"obj163","flower","blume","flor","fiore","tsvete","virág","hua1",1,0.97,1,0.98,0.96,0.98,0.98,0,0.03,0,0.02,0,0,0,0,0,0,0,0.04,0.02,0.02,1,3.3,3,1,1,2,2,1,0.97,0.96,1,1,0.98,0.92,0,0,0,0,0,0,0.08,0,0,0,0,0,0,0,0,0.03,0.04,0,0,0.02,0,754,768,782,786,986,814,844,754,764,766,786,986,796,846,NA,NA,NA,NA,NA,NA,819,NA,NA,NA,NA,NA,NA,NA,NA,858,1178,NA,NA,1670,NA,2,2,1,2,2,2,1,6,5,4,5,6,5,4.543,3.497,4.779,3.401,5.95,4.29,6.994
