"picnum","ename","gname","sname","iname","bname","hname","cname","egoodrt","ggoodrt","sgoodrt","igoodrt","bgoodrt","hgoodrt","cgoodrt","enoname","gnoname","snoname","inoname","bnoname","hnoname","cnoname","ebadrt","gbadrt","sbadrt","ibadrt","bbadrt","hbadrt","cbadrt","etype","gtype","stype","itype","btype","htype","ctype","elex1","glex1","slex1","ilex1","blex1","hlex1","clex1","elex2","glex2","slex2","ilex2","blex2","hlex2","clex2","elex3","glex3","slex3","ilex3","blex3","hlex3","clex3","elex4","glex4","slex4","ilex4","blex4","hlex4","clex4","erttot","grttot","srttot","irttot","brttot","hrttot","crttot","erttar","grttar","srttar","irttar","brttar","hrttar","crttar","ert2","grt2","srt2","irt2","brt2","hrt2","crt2","ert3","grt3","srt3","irt3","brt3","hrt3","crt3","ert4","grt4","srt4","irt4","brt4","hrt4","crt4","esyll","gsyll","ssyll","isyll","bsyll","hsyll","csyll","echar","gchar","schar","ichar","bchar","hchar","lnefreq","lngfreq","lnsfreq","lnifreq","lnbfreq","lnhfreq","lncfreq"
"obj001","accordion","akkordeon","acordeón","fisarmonica","akordeon","harmonika","shou3-feng1-qin2",0.76,0.73,0.88,0.96,0.9,0.96,0.9,0.22,0.1,0.08,0.02,0,0,0,0.02,0.17,0.04,0.02,0.1,0.04,0.1,5,5,2,2,1,2,4,0.87,0.5,0.98,0.9,1,0.85,0.56,0,0,0,0.1,0,0.15,0,0,0.5,0,0,0,0,0,0.13,0,0.02,0,0,0,0.44,1216,1546,1165,1176,1043,951,1410,1179,1572,1171,1160,1043,905,1632,NA,NA,NA,1314,NA,1220,NA,NA,1520,NA,NA,NA,NA,NA,1464,NA,905,NA,NA,NA,1133,4,4,3,5,4,4,3,9,9,8,11,8,9,0.693,0,2.197,0,3.3,0,1.099
"obj002","acorn","eichel","nuez","ghianda","zh^l^d","makk","mao4-zi5",0.94,0.83,0.56,0.74,0.7,0.94,0.42,0.04,0.13,0.4,0.22,0.2,0.06,0.52,0.02,0.03,0.04,0.04,0.1,0,0.06,2,6.7,12,7,6,5,11,0.83,0.68,0.36,0.81,0.71,0.87,0.29,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0.17,0.32,0.64,0.19,0.26,0.13,0.71,1273,1694,1788,1799,1777,1387,1952,1242,1600,1755,1749,1657,1336,2001,NA,NA,NA,NA,2843,NA,NA,NA,NA,NA,NA,NA,NA,NA,1428,1894,1806,2014,1993,1741,1932,2,2,1,2,2,1,2,5,6,4,7,6,4,1.099,0,2.708,0,2.75,0,1.792
"obj003","airplane","flugzeug","avión","aereo","samolet","repülöö","fei1-ji1",1,1,1,0.98,0.9,0.98,0.98,0,0,0,0,0,0,0,0,0,0,0.02,0.1,0.02,0.02,3,1.7,2,2,1,2,1,0.7,1,0.98,0.88,1,0.51,1,0.22,0,0,0.12,0,0.49,0,0.08,0,0,0,0,0,0,0,0,0.02,0,0,0,0,800,826,793,878,959,782,833,778,826,760,877,959,783,833,709,NA,NA,882,NA,781,NA,1245,NA,NA,NA,NA,NA,NA,NA,NA,2412,NA,NA,NA,NA,2,2,3,2,3,3,2,8,8,5,5,7,6,1.946,4.331,4.407,3.045,5.05,2.708,6.061
"obj004","alligator","krokodil","cocodrilo","coccodrillo","krokodil","krokodil","o4-yu2",1,1,0.96,0.94,0.98,0.94,0.94,0,0,0.02,0.02,0,0.02,0,0,0,0.02,0.04,0.02,0.04,0.06,4,3.3,3,4,3,3,3,0.9,0.97,0.83,0.87,0.84,0.94,0.96,0.02,0,0,0,0,0,0,0.06,0,0.02,0.02,0,0.02,0,0.02,0.03,0.15,0.11,0.16,0.04,0.04,886,917,1148,1085,1292,1007,1039,881,909,1149,1052,1226,1006,994,1070,NA,NA,NA,NA,NA,NA,801,NA,259,2533,NA,1599,NA,1177,1158,1268,1071,1628,734,2046,4,3,4,4,3,3,2,9,8,9,11,8,8,1.099,1.099,2.485,0,3.95,0,3.367
"obj005","anchor","anker","ancla","ancora","kotva","horgony","mao2",0.96,1,0.96,0.9,0.94,0.92,0.82,0.04,0,0.02,0.1,0,0.02,0.12,0,0,0.02,0,0.06,0.06,0.06,1,1.7,1,2,1,4,5,1,1,1,0.98,1,0.63,0.83,0,0,0,0,0,0,0.02,0,0,0,0,0,0.2,0,0,0,0,0.02,0,0.17,0.15,951,1176,1160,1158,1052,1385,1589,951,1176,1160,1141,1052,1320,1586,NA,NA,NA,NA,NA,NA,1051,NA,NA,NA,NA,NA,1617,NA,NA,NA,NA,1918,NA,1363,1693,2,2,2,3,2,2,1,6,5,5,6,5,7,1.946,1.386,2.639,0,3.15,0,0.693
"obj006","ant","ameise","hormiga","formica","mravka","hangya","ma3-i3",1,0.93,0.96,0.92,0.86,0.94,0.96,0,0.03,0,0.06,0.06,0.02,0.02,0,0.03,0.04,0.02,0.08,0.04,0.02,3,8.3,6,6,4,3,2,0.88,0.79,0.83,0.74,0.93,0.92,0.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12,0.21,0.17,0.26,0.07,0.09,0.02,1240,1541,1294,1450,1441,1205,1129,1171,1460,1244,1355,1401,1226,1128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1747,1840,1542,1719,1978,984,1193,1,3,3,3,2,2,2,3,6,7,7,6,6,2.565,1.792,2.197,1.386,4.25,0,4.654
"obj007","antlers","geweih","cuernos","corna","roga","agancs","lu4-jiao3",1,0.93,0.96,0.92,0.98,0.92,0.88,0,0.03,0.02,0.06,0,0,0.06,0,0.03,0.02,0.02,0.02,0.08,0.06,3,3.3,5,7,3,4,9,0.72,0.96,0.88,0.85,0.96,0.76,0.55,0,0.04,0.04,0.07,0.02,0.04,0.25,0.26,0,0,0,0,0.17,0,0.02,0,0.08,0.09,0.02,0.02,0.2,1231,1028,1422,1311,1138,955,1441,1186,1026,1398,1339,1105,953,1339,NA,1056,1765,1536,2156,1107,1624,1337,NA,NA,NA,NA,978,NA,1480,NA,1499,870,1681,553,1490,2,2,2,2,2,2,2,7,6,7,5,4,6,0,0.693,3.434,0,4.4,0,0.693
"obj008","anvil","amboss","yunque","incudine","nakovalnja","üllöö","dao1-zi5",0.68,0.47,0.38,0.7,0.58,0.84,0.24,0.3,0.53,0.6,0.22,0.34,0.16,0.66,0.02,0,0.02,0.08,0.08,0,0.1,6,5,9,3,2,6,9,0.71,0.86,0.53,0.94,0.83,0.83,0.33,0,0,0,0,0,0,0.08,0,0,0,0,0,0.02,0,0.29,0.14,0.47,0.06,0.17,0.14,0.58,1507,1493,1929,1418,1659,1635,1881,1239,1315,1653,1384,1622,1476,1344,NA,NA,NA,NA,NA,NA,3444,NA,NA,NA,NA,NA,2121,NA,2150,2561,2235,1985,1834,2482,1965,2,2,2,4,4,2,2,5,5,6,8,10,4,0.693,0.693,1.792,0,2.9,0,0.693
"obj009","apple","apfel","manzana","mela","jab^lka","alma","ping2-guo3",0.98,1,1,0.96,0.94,0.98,0.9,0,0,0,0.02,0.02,0,0,0.02,0,0,0.02,0.04,0.02,0.1,1,1.7,1,1,2,1,2,1,1,1,1,0.98,1,0.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0.02,0,0,810,863,800,904,1020,841,864,810,863,800,904,999,841,850,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1479,NA,NA,NA,NA,1985,NA,NA,2,2,3,2,3,2,2,5,5,7,4,7,4,3.434,2.565,3.178,1.609,5.65,2.89,4.595
"obj010","fishtank","aquarium","pecera","acquario","akvarium","akvárium","shui3-zu2-xiang1",1,1,0.98,0.98,0.96,0.98,0.92,0,0,0.02,0.02,0.02,0,0.02,0,0,0,0,0.02,0.02,0.06,5,1.7,3,4,2,2,6,0.48,1,0.92,0.92,0.98,0.98,0.83,0,0,0,0,0.02,0,0.04,0.46,0,0.06,0.02,0,0,0.07,0.06,0,0.02,0.06,0,0.02,0.07,1090,1000,1183,1138,1212,961,1108,1005,1000,1180,1071,1211,963,1083,NA,NA,NA,NA,1260,NA,1702,1130,NA,928,2261,NA,NA,962,1470,NA,2115,1769,NA,860,1167,2,4,3,3,4,4,3,8,8,6,8,8,8,0,1.099,0.693,0,4.05,0,1.946
"obj011","arm","arm","brazo","braccio","r^ka","kéz","shou3",0.98,0.9,0.96,1,0.82,0.94,1,0,0,0,0,0,0,0,0.02,0.1,0.04,0,0.18,0.06,0,2,3.3,2,4,3,4,4,0.84,0.89,0.77,0.8,0.95,0.53,0.84,0,0,0,0.02,0,0.04,0,0,0,0,0,0,0,0,0.16,0.11,0.23,0.18,0.05,0.43,0.16,910,1048,1039,1047,1102,958,926,923,1043,1088,1045,1057,799,911,NA,NA,NA,1646,NA,1724,NA,NA,NA,NA,NA,NA,NA,NA,844,1086,872,994,1991,1081,1005,1,1,2,2,2,1,1,3,3,5,7,4,3,5.352,4.82,5.257,2.773,6.55,6.841,7.319
"obj012","arrow","pfeil","flecha","freccia","strela","nyíl","jian4",1,1,1,0.98,1,0.88,1,0,0,0,0,0,0,0,0,0,0,0.02,0,0.12,0,2,1.7,2,1,1,2,2,0.98,1,0.98,1,1,0.59,0.94,0,0,0,0,0,0.41,0.06,0,0,0,0,0,0,0,0.02,0,0.02,0,0,0,0,788,869,911,859,918,841,1042,785,869,908,859,918,848,1032,NA,NA,NA,NA,NA,831,1186,NA,NA,NA,NA,NA,NA,NA,944,NA,1061,NA,NA,NA,NA,2,1,2,2,2,1,1,5,5,6,7,6,4,2.773,2.485,2.773,2.708,3.6,0,4.143
"obj013","artichoke","artischocke","alcachofa","carciofo","tsvete","articsóka","hua1",0.68,0.67,0.34,0.92,0.32,0.62,0.42,0.26,0.27,0.66,0.06,0.58,0.24,0.54,0.06,0.07,0,0.02,0.1,0.14,0.04,4,16.7,11,2,12,18,10,0.79,0.4,0.35,0.98,0.13,0.26,0.19,0,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0.21,0.6,0.59,0.02,0.88,0.74,0.81,1463,1683,1906,1071,1929,1845,1817,1397,1457,1725,1046,2121,1450,1769,NA,NA,1755,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1719,1833,2029,2195,1901,1982,1828,3,4,4,3,2,4,1,9,11,9,8,6,9,1.099,0,1.099,2.197,6.2,0,1.792
"obj014","ashtray","aschenbecher","cenicero","posacenere","pepelnik","hamutartó","ian1-hui1-gang1",0.74,0.83,0.88,0.94,0.94,0.92,0.78,0.22,0.13,0.08,0.06,0.04,0.06,0.16,0.04,0.03,0.04,0,0.02,0.02,0.06,7,5,4,4,2,4,8,0.84,0.92,0.93,0.43,0.98,0.76,0.8,0,0,0,0.57,0,0.22,0,0,0.04,0.02,0,0,0,0,0.16,0.04,0.05,0,0.02,0.02,0.21,1369,1176,1359,1250,1075,1191,1396,1250,1138,1329,1165,1058,1141,1274,NA,NA,NA,1313,NA,1362,NA,NA,1765,957,NA,NA,NA,NA,1984,1444,2188,NA,1851,1241,1870,2,4,4,5,3,4,3,7,12,8,10,8,9,2.303,0,2.996,0,6.3,0,1.946
"obj015","asparagus","spargel","espárrago","asparago","asperzha","rügy","lu2-sun3",0.86,0.83,0.5,0.66,0.46,0.8,0.76,0.12,0.13,0.48,0.2,0.5,0.2,0.12,0.02,0.03,0.02,0.14,0.04,0,0.12,6,3.3,15,10,12,17,9,0.88,0.96,0.2,0.64,0.22,0.28,0.74,0,0,0.04,0.09,0.09,0.08,0,0,0,0,0,0,0.03,0,0.12,0.04,0.76,0.27,0.7,0.63,0.26,1429,1519,1986,1491,2373,1954,1548,1388,1476,1426,1266,2273,1625,1528,NA,NA,2314,1220,2431,1603,NA,NA,NA,NA,NA,NA,1297,NA,1746,2560,2116,2107,2397,2167,1604,4,2,4,4,3,1,2,9,7,9,8,8,4,1.099,0.693,0.693,1.946,2.55,0,1.386
"obj016","ax","axt","hacha","ascia","bradva","balta","fu3-tou2",0.88,0.97,0.94,0.82,0.94,0.98,0.92,0.06,0,0.06,0.12,0.04,0,0,0.06,0.03,0,0.06,0.02,0.02,0.08,2,6.7,2,4,5,4,3,0.86,0.55,0.96,0.66,0.66,0.53,0.94,0,0,0,0,0,0,0.02,0.14,0,0,0.22,0.28,0.43,0,0,0.45,0.04,0.12,0.06,0.04,0.04,1119,996,1089,1289,1081,1004,1178,1085,932,1062,1360,1018,966,1160,NA,NA,NA,NA,NA,NA,2203,1332,NA,NA,1142,1064,1037,NA,NA,1075,1687,1171,1795,1149,1073,1,1,2,2,2,2,2,2,3,5,5,6,5,2.303,1.609,2.708,0,4,0,2.639
"obj017","baby","baby","bebé","bambino","bebe","kisbaba","ing1-er2",1,1,0.98,0.96,0.94,0.96,0.92,0,0,0,0,0,0,0,0,0,0.02,0.04,0.06,0.04,0.08,4,5,2,6,3,6,5,0.94,0.9,0.76,0.54,0.81,0.31,0.83,0,0,0,0.1,0,0.21,0.11,0.04,0.03,0,0.02,0,0.15,0.07,0.02,0.07,0.24,0.33,0.19,0.33,0,751,1019,923,1004,1068,1068,935,729,989,958,966,990,1197,916,NA,NA,NA,777,NA,1121,1209,1300,2135,NA,1511,NA,1051,713,663,866,815,1104,1398,923,NA,2,2,2,3,2,3,2,4,4,4,7,4,7,5.557,2.639,3.434,4.942,6.1,0,5.063
"obj018","bottle","flasche","biberón","biberon","biberon","cumisüveg","nai3-ping2",0.98,0.93,0.98,0.98,0.86,0.94,0.98,0,0,0,0,0.02,0.02,0,0.02,0.07,0.02,0.02,0.12,0.04,0.02,3,6.7,6,2,6,3,2,0.9,0.39,0.59,0.98,0.72,0.94,0.98,0.08,0.61,0,0,0.05,0.06,0,0,0,0.31,0.02,0,0,0,0.02,0,0.1,0,0.23,0,0.02,804,1302,1022,941,1395,957,813,775,1209,968,895,1275,937,816,959,1363,NA,NA,1958,1245,NA,NA,NA,1067,3170,NA,NA,NA,1451,NA,1196,NA,1653,NA,663,2,2,3,3,3,4,2,6,7,7,7,7,9,4.762,3.611,2.485,1.946,5.15,0,2.079
"obj019","stroller","kinderwagen","carriola","carrozzina","kolichka","babakocsi","ing1-er2-che1",0.94,1,0.94,0.94,1,0.9,0.9,0.04,0,0.04,0.04,0,0,0.02,0.02,0,0.02,0.02,0,0.1,0.08,5,1.7,7,5,3,2,10,0.49,1,0.87,0.45,0.6,0.96,0.67,0,0,0,0.21,0.4,0.04,0.04,0.45,0,0,0,0,0,0,0.06,0,0.13,0.34,0,0,0.29,1319,816,1336,1158,1138,906,1418,1335,816,1254,1147,990,903,1420,NA,NA,NA,1102,1361,975,1311,1303,NA,NA,NA,NA,NA,NA,1310,NA,1901,1206,NA,NA,1430,2,4,3,4,3,4,3,8,11,8,10,8,9,0.693,1.609,0,0,5.25,0,1.946
"obj020","backpack","rucksack","mochila","zaino","ranitsa","hátizsák","bei1-bao1",1,0.97,1,0.98,0.9,1,0.98,0,0.03,0,0,0,0,0,0,0,0,0.02,0.1,0,0.02,1,3.3,1,3,4,3,2,1,0.97,1,0.96,0.89,0.88,0.98,0,0,0,0.02,0,0.06,0,0,0,0,0,0,0,0,0,0.03,0,0.02,0.11,0.06,0.02,836,980,928,977,1038,920,923,836,958,928,978,1008,924,917,NA,NA,NA,1003,NA,814,NA,NA,NA,NA,NA,NA,NA,NA,NA,1588,NA,913,1276,977,1215,2,2,3,2,3,3,2,8,8,7,5,7,8,0,0,2.485,1.386,5.3,0,3.332
"obj021","badge","stern","placa","stella","medal","kitüüntetés","hui1-zhang1",0.94,0.97,0.82,0.86,0.86,0.92,0.94,0.04,0.03,0.12,0.12,0.06,0.02,0,0.02,0,0.06,0.02,0.08,0.06,0.06,9,13.3,13,10,7,11,8,0.68,0.28,0.37,0.47,0.35,0.3,0.7,0,0,0.02,0.02,0,0,0.23,0.04,0,0.1,0.37,0.23,0.02,0,0.28,0.72,0.51,0.14,0.42,0.67,0.06,1254,1483,1589,1568,1638,1689,1433,1221,1328,1743,1417,1632,1649,1396,NA,NA,1609,1459,NA,NA,1480,928,NA,1783,1741,1542,1335,NA,1384,1543,1441,1628,1696,1718,1669,1,1,2,2,2,4,2,5,5,5,6,5,10,2.303,4.277,2.89,2.639,3.75,2.485,2.996
"obj022","bag","tuete","bolsa","busta","plik","zacskó","zhi3-dai4",0.98,0.97,1,0.96,0.94,1,0.88,0,0.03,0,0.02,0,0,0,0.02,0,0,0.02,0.06,0,0.12,4,6.7,3,9,6,6,6,0.84,0.79,0.94,0.5,0.79,0.58,0.55,0.14,0.17,0.04,0.04,0.02,0.36,0.02,0.02,0.03,0.02,0.33,0,0.06,0,0,0,0,0.13,0.19,0,0.43,951,1141,977,1284,1264,1127,1261,925,1027,989,1019,1235,1007,1256,1058,1529,784,1691,2203,1343,1438,1274,1840,800,1415,NA,992,NA,NA,NA,NA,1856,1280,NA,1257,1,2,2,2,1,2,2,3,4,5,5,4,6,4.394,2.079,4.205,3.091,5.55,0,2.773
"obj023","balcony","balkon","balcón","balcone","balkon","erkély","iang2-tai2",0.98,0.9,0.9,0.98,0.96,0.98,0.94,0,0.03,0.04,0,0,0,0,0.02,0.07,0.06,0.02,0.04,0.02,0.06,7,5,6,4,4,6,9,0.65,0.74,0.78,0.67,0.52,0.8,0.51,0,0.04,0,0,0,0,0.02,0,0,0,0.02,0.21,0.02,0,0.35,0.22,0.22,0.31,0.27,0.18,0.47,1366,1147,1334,1161,1413,1151,1617,1324,1143,1292,1192,1419,1090,1710,NA,1439,NA,NA,NA,NA,2771,NA,NA,NA,1239,1355,1225,NA,1445,1114,1485,1087,1447,1406,1462,3,2,2,3,2,2,2,7,6,6,7,6,6,2.639,2.773,4.331,0,5.35,0,4.304
"obj024","ball","ball","pelota","palla","topka","labda","qiu2",1,1,0.98,1,0.94,1,0.98,0,0,0,0,0.02,0,0,0,0,0.02,0,0.04,0,0.02,1,3.3,3,3,1,1,6,1,0.97,0.88,0.78,1,1,0.69,0,0,0,0.22,0,0,0.08,0,0.03,0.1,0,0,0,0,0,0,0.02,0,0,0,0.22,886,948,922,975,969,1011,1308,886,936,905,952,969,1011,1184,NA,NA,NA,1056,NA,NA,2167,NA,1289,988,NA,NA,NA,NA,NA,NA,1354,NA,NA,NA,1378,1,1,3,2,2,2,1,4,4,6,5,5,5,4.718,4.127,3.807,3.807,5.7,3.045,5.707
"obj025","balloon","luftballon","globo","palloncino","balon","lufi","qi4-qiu2",1,0.97,1,0.98,0.96,0.98,0.96,0,0,0,0,0,0,0,0,0.03,0,0.02,0.04,0.02,0.04,1,3.3,1,2,1,3,1,1,0.97,1,0.76,1,0.65,1,0,0.03,0,0.25,0,0,0,0,0,0,0,0,0.35,0,0,0,0,0,0,0,0,702,758,776,895,910,861,824,702,748,776,901,910,843,824,NA,1020,NA,877,NA,NA,NA,NA,NA,NA,NA,NA,894,NA,NA,NA,NA,NA,NA,NA,NA,2,3,2,4,2,2,2,7,10,5,10,5,4,1.946,1.099,3.367,0,4.6,0,3.434
"obj026","banana","banane","plátano","banana","banan","banán","xiang1-jiao1",1,1,1,1,1,0.98,1,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,1,1.7,1,3,1,1,1,1,1,1,0.96,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,808,715,858,789,934,746,830,808,715,858,770,934,746,830,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1240,NA,NA,NA,3,3,3,3,2,2,2,6,6,7,6,5,5,2.197,1.946,1.946,0,5.45,0,4.174
"obj027","bandaid","pflaster","curita","cerotto","lepenka","sebtapasz","o.k.-bang4",1,0.9,0.92,1,0.8,0.94,0.88,0,0.1,0.02,0,0.18,0.02,0.06,0,0,0.06,0,0.02,0.04,0.06,2,3.3,4,3,7,5,7,0.92,0.96,0.91,0.96,0.55,0.49,0.77,0.08,0,0.02,0,0,0,0.02,0,0,0.04,0,0.15,0.47,0.09,0,0.04,0.02,0.04,0.3,0.04,0.11,757,1155,1308,933,1651,1110,1297,743,1129,1244,912,1322,1083,1208,919,NA,2221,NA,NA,NA,1127,NA,NA,1995,NA,2267,1071,1359,NA,1849,1697,1458,1945,1846,1888,2,2,3,3,3,3,3,7,8,6,7,7,9,0,2.079,0.693,0,5,0,1.609
"obj028","banjo","banjo","guitarra","mandolino","bandzho","bendzsó","ji2-ta1",0.92,0.87,0.72,0.84,0.74,0.88,0.76,0.04,0.07,0.26,0.16,0.22,0.02,0.08,0.04,0.07,0.02,0,0.04,0.1,0.16,5,10,9,7,7,6,12,0.87,0.54,0.47,0.48,0.3,0.57,0.42,0,0,0,0,0,0,0,0,0,0,0.14,0,0,0,0.13,0.46,0.53,0.38,0.7,0.43,0.58,1083,1730,1556,1387,1586,1444,1787,1036,1480,1475,1190,1230,1427,1690,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1288,NA,NA,NA,1400,2022,1628,1672,1737,1466,1857,2,2,3,4,2,2,2,5,5,8,9,7,7,0,0.693,3.638,0,2.45,0,2.197
"obj029","barbecue","grill","asador","barbecue","barbekju","tüüz","kao3-rou4",0.98,1,0.86,0.88,0.72,0.8,0.8,0.02,0,0.1,0.08,0.18,0.1,0.04,0,0,0.04,0.04,0.1,0.1,0.16,2,8.3,8,9,6,21,12,0.9,0.87,0.81,0.52,0.5,0.13,0.33,0,0.03,0.02,0,0,0,0.03,0.1,0,0.02,0.02,0.28,0,0,0,0.1,0.14,0.45,0.22,0.88,0.65,1034,1325,1510,1791,1674,1995,1577,1012,1286,1427,1729,1426,1685,1454,NA,1556,3336,NA,NA,NA,2025,1226,NA,1535,1768,2125,NA,NA,NA,1593,1688,1864,1665,2039,1621,3,1,3,3,3,1,2,8,5,6,8,8,3,1.099,0,0.693,0,3.8,4.263,0
"obj030","barrel","fass","barril","botte","b^chva","hordó","tung3-zi5",0.96,0.97,1,0.94,0.98,0.98,0.92,0.04,0,0,0.04,0.02,0,0,0,0.03,0,0.02,0,0.02,0.08,2,3.3,3,2,3,2,7,0.98,0.9,0.88,0.77,0.67,0.98,0.35,0,0,0,0,0,0,0.44,0.02,0.1,0,0.23,0.33,0,0,0,0,0.12,0,0,0.02,0.22,920,893,914,912,1011,799,1151,882,901,812,943,982,788,879,NA,NA,NA,NA,NA,NA,1247,2704,823,NA,811,1069,NA,NA,NA,NA,1667,NA,NA,1354,1396,2,1,2,2,2,2,2,6,3,6,5,6,5,3.091,2.639,2.079,0,3.85,2.773,1.386
"obj031","basket","korb","canasta","cestino","koshnitsa","kosár","lan2-zi5",1,1,1,0.96,0.96,1,0.92,0,0,0,0.02,0,0,0.02,0,0,0,0.02,0.04,0,0.06,2,3.3,2,5,2,2,5,0.98,0.97,0.88,0.65,0.98,0.98,0.91,0.02,0.03,0.12,0.33,0,0.02,0.09,0,0,0,0.02,0,0,0,0,0,0,0,0.02,0,0,840,902,924,971,1097,908,925,832,895,921,922,1099,873,886,1227,1083,945,1041,NA,2594,1341,NA,NA,NA,1371,NA,NA,NA,NA,NA,NA,NA,981,NA,NA,2,1,3,3,3,2,2,6,4,7,7,9,5,3.219,3.135,1.609,0,3.95,2.773,2.944
"obj032","bat","fledermaus","murciélago","pipistrello","prilep","denevér","bian3-fu2",0.96,1,1,0.96,0.98,1,0.98,0.02,0,0,0.02,0,0,0,0.02,0,0,0.02,0.02,0,0.02,1,1.7,2,1,1,1,1,1,1,0.94,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0,0,0,0,764,1028,917,921,945,903,856,764,1028,926,921,945,903,856,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,781,NA,NA,NA,NA,1,3,4,4,2,3,2,3,10,10,11,6,7,2.708,1.386,2.565,0,3.2,0,2.197
"obj033","bathtub","badewanne","tina","vasca","vana","kád","yu4-gang1",1,0.93,0.98,0.96,0.92,0.98,0.9,0,0.03,0.02,0,0,0,0.04,0,0.03,0,0.04,0.08,0.02,0.06,3,5,10,3,1,2,10,0.78,0.71,0.57,0.52,1,0.59,0.71,0.22,0.21,0.06,0.46,0,0.41,0.09,0,0,0.22,0,0,0,0.04,0,0.07,0.14,0.02,0,0,0.16,976,1130,1377,1096,1167,958,1636,966,1095,1340,1076,1167,918,1522,1010,1181,1586,1113,NA,1017,2205,NA,NA,1299,NA,NA,NA,1837,NA,1330,1555,1200,NA,NA,1774,2,4,2,2,2,1,2,7,9,4,5,4,3,1.099,2.079,1.386,1.609,5.05,2.708,3.219
"obj034","bear","baer","oso","orso","mechka","medve","xung2",1,0.97,1,0.98,0.74,0.98,0.92,0,0,0,0,0,0,0.02,0,0.03,0,0.02,0.26,0.02,0.06,2,3.3,2,2,1,2,3,0.82,0.76,0.98,0.98,1,0.67,0.76,0.18,0.24,0.02,0,0,0.33,0.22,0,0,0,0,0,0,0.02,0,0,0,0.02,0,0,0,846,921,945,904,890,885,1191,804,943,936,906,890,868,1138,1035,854,1368,NA,NA,921,1291,NA,NA,NA,NA,NA,NA,2046,NA,NA,NA,833,NA,NA,NA,1,1,2,2,2,2,1,4,3,3,4,6,5,2.833,2.197,3.85,0,4.25,0,5.124
"obj035","beard","bart","barba","barba","brada","szakáll","hu2-zi5",1,0.97,0.98,0.96,0.96,0.96,0.92,0,0.03,0.02,0.02,0.04,0.02,0.06,0,0,0,0.02,0,0.02,0.02,3,5,3,1,4,3,6,0.96,0.93,0.96,1,0.94,0.96,0.87,0.02,0.03,0,0,0.02,0,0.07,0,0,0,0,0,0,0,0.02,0.03,0.04,0,0.04,0.04,0.07,1049,1163,1021,1050,1274,1147,1331,1033,1070,996,1050,1224,1126,1273,1927,1151,NA,NA,2275,NA,1377,NA,NA,NA,NA,NA,NA,NA,944,3663,1599,NA,1906,1633,2056,1,1,2,2,2,2,2,5,4,5,5,5,7,3.258,2.565,4.127,1.946,5.35,2.639,2.639
"obj036","beaver","biber","castor","castoro","bob^r","hód","lao3-shu3",0.94,0.9,0.66,0.52,0.76,0.84,0.64,0.06,0.1,0.28,0.4,0.18,0.1,0.26,0,0,0.06,0.08,0.06,0.06,0.1,10,6.7,10,8,10,10,12,0.75,0.89,0.3,0.35,0.42,0.67,0.41,0,0,0,0,0,0,0.22,0,0,0,0,0,0,0,0.26,0.11,0.7,0.65,0.58,0.33,0.38,1412,1428,1635,1724,1835,1555,1806,1395,1403,1492,1616,1574,1436,1630,NA,NA,NA,NA,NA,NA,2022,NA,NA,NA,NA,NA,NA,NA,1462,1634,1698,1781,2026,1794,1871,2,2,2,3,2,1,2,6,5,6,7,5,3,1.386,0.693,0.693,0,2.55,0,4.86
"obj037","bed","bett","cama","letto","leglo","ágy","chuang2",1,1,0.98,1,0.94,0.98,0.98,0,0,0.02,0,0,0,0,0,0,0,0,0.06,0.02,0.02,1,1.7,1,3,2,1,3,1,1,1,0.96,0.89,1,0.96,0,0,0,0.04,0,0,0.04,0,0,0,0,0.11,0,0,0,0,0,0,0,0,0,706,718,761,773,988,774,870,706,718,761,770,977,774,858,NA,NA,NA,835,NA,NA,1156,NA,NA,NA,NA,1079,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,2,2,1,1,3,4,4,5,5,3,5.136,4.787,6.023,4.22,5.85,5.215,5.62
